cycle_number,max_capacity_in_Ah,mean_temperature_in_C,max_abs_current_in_A,c_rate,nominal_capacity_Ah,depth_of_discharge,depth_of_charge,anode_material,cathode_material,electrolyte_material,cell_id,SOH,source_file
1,0.7902409,25,2.0003343,2.0003343,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,1,NA-ion_270040-1-1-64
2,0.7957971,25,2.0003421,2.0003421,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,1,NA-ion_270040-1-1-64
3,0.7945724,25,2.0003219,2.0003219,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,1,NA-ion_270040-1-1-64
4,0.7939548,25,2.000298,2.000298,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,1,NA-ion_270040-1-1-64
5,0.7933978,25,2.0002975,2.0002975,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,1,NA-ion_270040-1-1-64
6,0.7930062,25,2.0002863,2.0002863,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,1,NA-ion_270040-1-1-64
7,0.7925603,25,2.0002735,2.0002735,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,1,NA-ion_270040-1-1-64
8,0.7922289,25,2.0002794,2.0002794,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,1,NA-ion_270040-1-1-64
9,0.791783,25,2.0002751,2.0002751,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,1,NA-ion_270040-1-1-64
10,0.7914491,25,2.0002844,2.0002844,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,1,NA-ion_270040-1-1-64
11,0.7911207,25,2.0002739,2.0002739,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,1,NA-ion_270040-1-1-64
12,0.7907309,25,2.0003002,2.0003002,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,1,NA-ion_270040-1-1-64
13,0.7905071,25,2.0002975,2.0002975,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,1,NA-ion_270040-1-1-64
14,0.7901717,25,2.0002961,2.0002961,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.999912432,NA-ion_270040-1-1-64
15,0.789837,25,2.0002887,2.0002887,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.99948889,NA-ion_270040-1-1-64
16,0.7896148,25,2.0002801,2.0002801,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.99920771,NA-ion_270040-1-1-64
17,0.7892832,25,2.0002949,2.0002949,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.998788091,NA-ion_270040-1-1-64
18,0.788949,25,2.0002794,2.0002794,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-1-1-64,0.998365182,NA-ion_270040-1-1-64
